job_name,location,job_post_date,job_description
Solutions Architect - GCP,Sweden,2025-03-24 05:02:16,"Experience Remote done Right. Over 20 years of remote experience, all 500 staff are 100 remote and we still grow vibrant relationships, provide exceptional opportunities for career growth while working with stellar clients on ambitious projects What were working onEnterprise companies turn to us to help them launch innovative digital products that interact with hundreds of millions of customers, transactions and data points. The problems we solve every day are real and require creativity, grit and determination. We are building a culture that challenges norms while fostering experimentation and personal growth. In order to grasp the scale of problems we face, ideally, you have some exposure to Logistics, FinTech, Transportation, Insurance, Media or other complex multifactor industries Requirements5 years of experience as a solutions architecture role, with a strong focus on Google Cloud Platform GCP.Deep expertise in GCP services such as Compute Engine, Cloud Functions, Cloud Run, BigQuery, Cloud Storage, GKE Google Kubernetes Engine, Cloud PubSub, IAM, and Cloud Identity.Hands-on experience with automation and configuration management tools like Terraform, Google Cloud Deployment Manager, or similar.Proficiency in building and managing CICD pipelines using Google Cloud Build, Jenkins, GitHub Actions, or similar tools.Advanced knowledge of Linux andor Windows systems administration, networking, and cloud security best practices.Familiarity with monitoring and logging tools such as Google Cloud Monitoring, Cloud Logging, and Stackdriver.Proven ability to architect solutions that meet business and technical requirements while balancing performance, scalability, and cost.Strong communication skills, with the ability to present complex concepts to both technical and non-technical stakeholders. Straight from the DevsWatch short snippets of actual developers Real, not scripted share why they joined YouTube Playlist Why Lumenalta is an amazing place to work atAt Lumenalta, you can expect that you willBe 100 dedicated to one project at a time so that you can hone your skills, innovate and growBe a part of a team of talented and friendly senior-level developersWork on projects that allow you to use cutting edge tech. We believe in constantly evolving your mastery The result We produce meaningful work and we are truly proud and excited to be creating waves in an industry under transformation. Lumenalta is committed to hiring exceptional talent from a wide variety of diverse backgrounds. If you share our values and enthusiasm for digital transformation, we encourage you to apply"
Extra job as a B -driver in Gothenburg - Short -term assignment,"Gothenburg, Västra Götaland County, Sweden",2025-03-23 08:18:14,"Tasks in this assignment you will assume the role of driver where your task is to deliver grocery bags from a grocery store out to the store's customers. In the role of driver, you will load the car at the beginning of each workout deliver the grocery bags in time to work physically as there is heavy lifting and walking in stairs drive a larger car where it is important to drive the vehicle safely. You will start from our customer's grocery store in central Gothenburg working hours and scope The service is a short -term assignment and refers to the following time and period V. 15 Monday - Friday, 0800-1500V. 16 Monday - Thursday, 0800-1500 to be relevant for the assignment you need to be able to work throughout this period. Personal qualities We value that you always strive to achieve the best possible results and have good sense of order and accuracy. You are self -employed in your professional role and take responsibility for performing tasks. Sparing and environmentally conscious driving. Since the work can be physically demanding, it is a plus if you have good physics so you can work ergonomically correct. Weight is also placed on other personal characteristics requirements B-driving license Manually you are self-employed in your professional role and see what needs to be done, it is required that you have another main employment of at least 50. Examples of other main employment are studies of at least half-time 50, other work where you are guaranteed work at least 50, own company or elite athletes, since workplace intrugs, security regulations. We use verified control tools to ensure that the candidates in question do not have a background that is incompatible with the service in question. Merit experience in work as a B-driver's license or similar is considered a merit. Interested applications are processed on an ongoing basis and the service can be added before the last application date. Only applications via this ad will be taken into account. Welcome to become part of our team of Store Support by JobTalent Store Support is part of JobTalent, one of the fastest growing players in the recruitment and staffing industry globally, with headquarters in Madrid and operations in the largest European markets, USA and South America. JobTalent offers qualitative recruitment and staffing services in, among others, logistics, industry, construction, events, administration and retail. In Sweden, we employ 10,000 employees annually and have sales of SEK 1.8 billion."
"Development Manager Transport and Logistics, Stora Enso Skog","Mora, Dalarna County, Sweden",2025-03-24 02:48:59,"Are you ready to take the next step in your career and want to help shape our new development team in a role as responsible for our transport and logistics development We are looking for you who are passionate about business, results and innovative solutions. If you also have an interest in forest and sustainability, this may be the opportunity you are looking for. With us the forest, people and business grow. As development manager in transport and logistics for Stora Enso's forest operations, you will be given a key role in developing and streamlining truck and rail transport of round timber and chips in Sweden. An important part of the service is to work strategically to reduce the climate impact of transport through cooperation with vehicle manufacturers and transport suppliers. You will run major development projects and collaborate with a wide network of internal and external stakeholders and represent Stora Enso Skog in different forums. Your areas of responsibility include business development together with purchasing organization efficiency and technology development together with the operational logistics organization development of the environment and efficiency performance surveillance and analysis in infrastructure and logistics fact -based evaluation for continuous improvement and development this role gives you great freedom to influence development work. You become an important part of our team and have the opportunity to adapt the role to your vision, within given frameworks. You report to the Director Operations Development and work in close cooperation with your equivalent in Finland. The location is in one of our offices in Stora Enso Skog's business area, and the service involves regular trips within Sweden from Härjedalen in the north to Bohuslän in the south and if necessary also outside this area. Who we are looking for we are looking for you who are used to running change work, leading projects and working fact -based to create efficient and sustainable solutions. As a confident and results -oriented leader with a natural ability to communicate and collaborate, you enjoy engaging people and building strong relationships. Your driving force and expertise in transport and logistics make you a key player in our business. Skills and qualifications that we believe you have college education in forestry, transport or logistics. Multi-year experience of leadership with successful change-working ability to plan and implement work independent analytical thinking with the ability to see the whole inspirational communication style that engages and motivates flowing knowledge in both Swedish and English, in speech and in writing license what we offer with us, you become part of our diversity promotion. You will, together with your colleagues, contribute to a more sustainable world, because we believe that everything that is done by fossil -based materials today can be done by a tree tomorrow. To keep you safe with work, we support your physical and mental well -being. How can you apply to this service you can only submit your application to us through our recruitment system. As we go through applications on an ongoing basis, we hope to hear from you as soon as possible, but by March 30. Depending on service, we may invite you to our video interview tool and or ask you to do tests. Our recruitment process may also include other activities before employment, such as background control, reference and health test as well as drug tests. If you have questions about the recruitment process, do not hesitate to contact our Talent Acquisition Partner Linda Andersson on tel. 073 845 41 49 or email linda.anderssonstoraenso.com. If you have questions about the service, you are welcome to contact Director Operations Development Mattias Bränngård on tel. 072 723 57 11 or e -mail Mattias.blanngardstoraenso.com Come and work in The Renewable Materials Company Forest is the heart in Stora Enso and our conviction is that everything made from fossil -based materials today can be made of a tree tomorrow. We are the leading supplier of renewable products in packaging, biomaterials and wood construction, and one of the largest private forest owners in the world. Stora Enso has about 19,000 employees and in 2024 sales amounted to EUR 9 billion. We believe that diversity strengthens our competitiveness and contributes to better decision -making. Different working groups with different backgrounds help us explore different perspectives and challenge our way of thinking. We work actively to increase diversity in the workplace and welcome applicants with different backgrounds. Stora Enso is an employer for equal opportunities that follow non-discriminatory methods."
Study service for those who want to study for preschool teachers or primary school,"Kiruna, Norrbotten County, Sweden",2025-03-24 06:56:36,"The Sami School Board SAMS is the board of the Sami schools and for activities that belong to them. The Sami school is a school form equivalent to elementary school and preschool class that is designed and profiled with the Sami languages ​​and the Sami culture. SAM's tasks also include supporting the development and production of teaching materials for Sami teaching. Sams may, after agreement with a municipality, fulfill the municipality's tasks within the preschool activities for Sami children. The five Sami schools are located in Gárasavvon, Giron, Váhtjer, Jåhkåmåhkke and the dearna. We conduct Sami preschool activities in Giron, Váhtjer, Jåhkåmåhkke and Luspie municipalities. The Sami School Board also has an assignment to organize distance education in the Sami languages ​​and provide opportunities for pupils throughout Sweden to get teaching in Sami. Duties Employment for studies with salary 20 and language support in educational activities 10 30 Employment conditions You are employed at one of our schools or preschools and serve as language supporters 4 hours per week, scheduled in agreement with the principal at the unit. The service is a fixed -term employment in the form of substitutes. You are employed for one academic year at a time with the possibility of extension, provided that you continue to study and that the necessary decisions within the Sami School Board are made. Qualifications You should be admitted to and enrolled in a preschool teacher education, elementary teacher education, or an education for teachers in leisure homes. The studies can be distance or at a place of study, but you should have the opportunity to work in our business every week. That is why we primarily turn to you who are living in one of the places where we run our schools and preschools. Good knowledge of one of the Sami varieties is a requirement. You should be able to use the Sami as a working language. A documented good cooperative ability is a requirement. We attach great importance to personal fitness. You have a positive view of humanity, a genuine interest in pedagogy and childhood, and pupils' development. You have a good Sami cultural competence and think it is fun to work with children and young people. We look forward to having high school studies in Sami or can validate your skills with the help of the Sami School Board. You have no educational education at the university level before. We look forward to going in and working extra in our business during your studies, but that is not a requirement. Other Sami School Board applies individual salary setting. Applicants must present extracts from the police load register before employment. You who have protected personal data have the opportunity to send your application by mail or by contacting the authority's staff officer on tel 0971442 08."
Mechanical Engineer - Gavle - 144634,"Gävle, Gävleborg County, Sweden",2025-03-23 13:15:20,"Position Mechanical Engineer Location Gavle, Sweden Company Description We are a leading engineering services company with a proven track record of high quality, customer focused project delivery for over 130 years. Our core divisions include Mechanical Engineering, Electrical Engineering, Sprinkler and Fire Protection. Some of the other services we provide include Waste to Energy BioEnergy, Specialist Lift, Off Site Fabrication, Technical Support Services, Maintenance, Asset Management, BIM Building Information Modelling and Geo-Surveying. We offer competitive salaries, financial support for further training, Continuous Professional Development CPD leading to chartered status, performance incentives and the ability to progress your career with a world class engineering contractor. Job Description We are seeking a highly skilled and motivated Mechanical Project Engineer to join our engineering team with over 130 years of delivering high-quality, customer-focused projects. As a Mechanical Project Engineer, you will play a crucial role in the successful execution and delivery of diverse mechanical engineering projects. Your expertise and dedication will contribute to the continued growth and reputation of our company as a world-class engineering contractor. Skills And Requirements Project Planning and CoordinationCollaborate with clients, architects, and other stakeholders to understand project requirements and objectives. Develop detailed project plans, timelines, and budgets, ensuring alignment with client expectations and company standards. Coordinate with cross-functional teams, including Electrical Engineering teams, Sprinkler, and Fire Protection, to ensure seamless project execution. Design and EngineeringPrepare red-line technical drawings, specifications, and documentation using industry-standard software and Building Information Modelling BIM tools. Ensure compliance with relevant codes, regulations, and safety standards throughout the design phase. Procurement and Vendor ManagementIdentify and source appropriate materials, equipment, and components required for project implementation. Evaluate vendor proposals and technical submittals, while managing the procurement process to ensure timely delivery and cost-effective solutions. Project Implementation and SupervisionOversee the construction and installation phases of mechanical equipment with the construction team and provide technical guidance to on-site teams. Conduct regular site inspections to ensure adherence to project specifications, safety protocols, and quality standards. Address any technical challenges or issues that may arise during the construction phase, implementing effective solutions promptly. Project Documentation and ReportingMaintain accurate and up-to-date project documentation, including progress reports, change orders, and project close-out documents. Prepare comprehensive technical reports for clients and management, highlighting key achievements, challenges, and recommendations. Qualifications And Requirements Bachelors degree in mechanical engineering or a related field. Proven experience as a Mechanical Engineer in the engineering services industry, with a track record of successful project delivery. Strong technical proficiency in mechanical engineering principles, design tools, and software. Familiarity with Building Information Modelling BIM and other relevant engineering technologies. Excellent project management skills with the ability to manage multiple projects concurrently. Effective communication and interpersonal abilities to collaborate with diverse teams and stakeholders. Understanding of relevant codes, regulations, and safety standards in mechanical engineering. Benefits We offer a competitive salary package commensurate with experience and qualifications. In addition, you will have the opportunity to work in a dynamic and supportive environment, collaborating with industry leaders and contributing to a sustainable future. Our company values work-life balance and encourages professional growth through training and development programs. If you are ready to make a difference and be part of a growing industry, please submit your CV, along with a cover letter highlighting your relevant experience and why you are interested in this role. Recognising the contributions and respecting our people is core to our culture and values. We are an equal opportunities employer, and we encourage candidates from all backgrounds to apply for roles. Please note, we are currently not accepting applications from agencies, for this role at this time."
Ruby-on-Rails Engineer (Turbo/Stimulus/Hotwire) (Remote),European Union,2025-03-23 14:53:12,"Our Vision At EverAI, we specialize in creating conversational AI experiences for roleplay, gaming, social interactions, and creative writing. Dive into a world where every chat is an adventure. Our Product Since our public release in September 2023, we have experienced incredible traction growing from 0 to 22M users. As we grow, our goal is to keep enhancing existing key features as well as developing new exciting functionalities group chat, AI chat phone calls in local languages, video calls, AI video generation, ARVR, etc.. Our Team We are an enthusiastic, passionate and hardworking team of 55 people. Our founding team has strong entrepreneurial experience building and scaling web products from 0 to IPO. Alexis Soulopoulos CEO 10 years in Tech Executive Leadership Co-Founder Mad Paws Holdings from 0 to IPO Forbes 30 under 30 Deloitte TechFast50 22 23 Michael Monin Co-founder CTO 10 years as CTO COO web2web3, 1 year in AILLM Serial-entrepreneur MTK Digital exited 0-20m revenue and Zipchat AI Chatbot for E-commerce brands Thomas Lacroix Co-founder CMO 8 years in Customer Acquisition E-commerce Growth Serial-entrepreneur Curatible sold to Blackstone and MTK Digital exited 0-20m revenue Marusa Fasano CFOLegal 25 years in Finance, Strategy, MA Ex-CFOMA Curatible exited to Blackstone Ex-President of the Board SotremoSA exited Co-founderCFO SoftOne exited Your Role Our Tech team is expanding rapidly to keep pace with the ambitious feature roadmap weve set out. Were looking for experienced Ruby on Rails Engineers with extensive frontend expertise to help us build, scale, and refine our product. This is an exciting opportunity to work on both the backend and the frontend, leveraging tools like Stimulus, TurboStreams, TurboFrames, and Hotwire to create seamless user experiences. Reporting directly to our Tech Lead, you will be responsible for Collaborating with the Product Manager to review project specifications and requirementsPreparing integration plans, break-downs, and estimations for both backend and frontend tasksHands-on code implementation across backend and frontend, with a focus on creating performant, user-friendly interfacesParticipating in PRs, code reviews, and testing to ensure code quality and consistency. You will work closely with Michael Co-founder and CTO, and alongside the Product and Engineering teams web developers, SREs, DevOps, and Data Scientists to deliver features that delight our users. NB While expertise in Ruby on Rails is essential, we are specifically looking for engineers with frontend experience in Stimulus, TurboStreams, TurboFrames, and Hotwire. Your Qualifications Must-haves 3 Years Of Experience As a full-stack or software engineer with extensive experience in frontend developmentStrong Ruby on Rails expertise, including recent hands-on experienceWorking in tech startups or similarly agile and fast-paced environmentsOn large-scale products where your code was used by thousands of usersProficiency with frontend technologies, including Stimulus, TurboStreams, TurboFrames, and Hotwire. Strong communication collaborative skills perfectly fluent in English Ownership and commitment - were looking for owners, not renters Doer mindset - we are moving fast and we need people who can find the right balance between software craftsmanship and velocity User-centricity - you are proud of what you build and you share our obsession for amazing user experience NSFW - you are comfortable building products that are based on uncensored models and content Why join us An ambitious project where almost everything AI remains to be built 5-star team our founding team went 0-20M and 0-IPO with their last startups, so they know how to take online products to the moon Huge traction with already 22M users since product launch in September 2023 An international team fully distributed across the globe What We Offer We prefer a B2B contract but we can be flexible, as long as youre in it for the long haul Full-remote you work from the place that suits you best 4 weeks PTO Annual gathering to get to know each other better Wellbeing budget up to 200 Company laptop GPT-4, Mistral and Hugging Face Pro plan"
Product Expert - Digital Workplace (P&M),"Stockholm, Stockholm County, Sweden",2025-03-23 23:24:23,"If you want to join and form Länsförsäkringar's digital future, you are driven by challenges and change, you are also a good communicator who easily explains technology and complex relationships then this can be the right role for you about the job we are looking for a product expert in digital workplace to drive the development of our services with a focus on mobility, productivity and flexibility productivity. You are responsible for the virtual and mobile workplace as well as surrounding services for our 12,000 employees. You work close to Product Owner with technical planning and roadmap, and ensure that the services are used optimally in collaboration with Product Area Architect and IT partners where you have a central requirement. Together with IT security and other stakeholders, you ensure that the products follow security strategies and guidelines. To run innovation and create value for the business, you keep up to date on new technologies and trends in the area. The role includes operational management and development of the virtual and mobile workplace enactimation, automation and life cycle management of services in the area securing high quality, accessibility and digital employee experience Dex who are you we are looking for with the IT degree or equivalent experience. You have at least 5 years of experience working with IT administration development in digital workplace in larger organizations. We also see that you have very good knowledge of technologies and services around the End User Computing area primary focus on Virtual Desktop Infrastructure and Enterprise Mobility Management Maid Good knowledge of technologies and services relating to Productivity Mobility within M365 and Citrix as well as how these are managed in the EverGe. Operational processes and designing and operating a product service throughout its life cycle experience of operational control and automation, for example through script experience in working according to agile methods merit is experience in digital experience management as well as tools for analysis, automation and proactive predictive IT delivery. As a person, you are independent, enterprising and overall focused. You have good cooperative ability and master Swedish and English in speech and writing. This is because you will have a dialogue with many parties, both internally and externally. About us with us at Länsförsäkringar and within the Digital IT unit you will find a place for courage and opportunities and may represent one of Sweden's strongest brands with great community engagement that creates security and opportunities for our nearly 4,000,000 customers. With us you can continue to develop and work long -term to make a difference for all our employees in a large and stable organization within Bank Insurance. You will play an important role in an important and exciting journey in increasing digital stability and experience with the customer in focus. More information sounds exciting then we want to know more about you welcome with your application today. We work on this recruitment continuously and may add the service before the last application date. Last application date 2025-04-09"
Senior Partner Account Manager- Channel,"Stockholm, Stockholm County, Sweden",2025-03-24 07:59:20,"Job SummaryRecruits, onboards, and manages key partnerships at a cross-region or Global level reseller, referral, and agent, leveraging Account Plans to drive enterprise market adoption of integrated EquinixPartner solutions to achieve channelcompany new bookings and enterprise new logo growth objectives. ResponsibilitiesPartner RecruitmentCollaborates with cross-functional teams, such as Sales Leadership, Business Development and the Global Accounts Organization, in the identification of strategic alliance partners and definition of initial related joint value proposition Integrated Solutions Joint Value PropositionEngages partner and Equinix cross-functional team members, such as Sales Engineers, Solutions Architects, and Product Management, for technical positioning, alignment, and packagingFacilitates development and alignment for joint value proposition and bundled offer Go-to-marketResponsible for GTM Preparation collateral and messaging, JVP content, use cases, partner central, partner directory, and partner sales trainingEstablishes Sales ROE and onboarding plan and achieves agreement on how the companies will communicate during sales pursuitsEngages Channel Marketing and coordinates development of initial go-to-market and first deal strategyResponsible for GTM Execution pipeline development, sales targets, sales plan, deal management, Day 2 support, billing and ordering support, and QBRs Partner Relationship ManagementIdentifies and establishes contact with initial sponsor within prospective partnersManages long-term relationships with partnerEnsures the designation and alignment of Executive sponsors Partner Development Activation EnablementConducts or participates in the process of Reseller ActivationResponsible for identification of Strategic partner supporting reseller community BusinessPipeline ReviewsParticipates in Global Joint Business PlanningOversees deal tagging tracking processHas joint funnel oversight Cross-Functional CollaborationWorks closely with Equinix Field Sales, Corporate Sales, Sales Engineers, Marketing, Customer Fulfillment and Support, Sales Operations, Operations, and IBX staffCoordinates development and approval of Marketing Plan, targets, strategies, activities, and co-marketing investments to support Channel Partner Business Plan with Platform Partner alignmentEducates Strategic partners on how to engage Equinix resources including GSA, SE, CSM to define, quote, and order solutionFacilitates cross-functional review of partnership performance, including sales, operations, and marketing, as established in Partner Business PlanLeverages executive sponsors appropriately CommunicationsTailors message and partner pitch to partner company on how partnering with Equinix can help to grow their businessDelivers relevant message to confirm mutual interest in moving forward, uncovering interest and motivation of prospective partner stakeholders, identifying their business driver to partner with EquinixExpertly articulates business value of joint value proposition with Equinix QualificationsProven years of proven success in channel sales for an internet, network, data center, hyperscaler or cloud based products or services provider preferredBachelors Degree required"
"University lecturer in guitar and ensemble play/rock music, School of Music","Malmo, Skåne County, Sweden",2025-03-24 02:51:09,"Lund University was founded in 1666 and is ranked recurring as one of the world's foremost universities. There are about 47,000 students and more than 8,800 employees in Lund, Helsingborg and Malmö. We are united in our quest to understand, explain and improve our world and human conditions. Lund University welcomes applicants with different backgrounds and experiences. Gender equality, equal conditions and diversity are basic principles for all parts of our operations. The School of Music in Malmö is looking for university lecturer in electric guitar, ensemble and ensemble management with a focus, mainly against the pop rock of the employment, is 50 with placement in the music teacher education. The employment is so far from 2025-09-01. Duties Teaching in electric guitar, ensemble and ensemble management with a focus mainly on pop rock in music teacher education. Teaching on main instruments, BI instruments and elective courses, both for students with a focus on compulsory school and upper secondary school. Work in work teams is included in the employment. Teaching in pop rock ensemble in music teacher training. Eligibility for employment is required a teacher's degree in music, or equivalent. Experience in teaching at music college is a requirement. The applicant should have broad instrumental knowledge in several different instruments as well as skills in ensemble line. For employment, you also have to have a college pedagogical education in at least five weeks, or have otherwise obtained the corresponding knowledge. If there are special reasons, the person who is employed can undergo the training during the first two years. Applicants should also be able to present documented educational skills from teaching the subject in higher education in music. Assessment basis broad and deep subject knowledge both artistically and pedagogically in the subject area and extensive experience in teaching in the employment's subject areas at different levels, good educational ability, which means good ability to conduct and develop teaching at different levels and with varying teaching methods, ability to spread commitment and the ability to engage and the ability to engage and the ability to engage in the subject. Instruction for the application on the application, the structure of the academic credit portfolio must be used. Upload your actions as PDF files in the recruitment system. The university applies individual salary setting. Feel free to state salary claims in your application Artistic Faculty in Malmö is one of eight faculties at Lund University and consists of the School of Art, the Music and Theater, as well as Inter Arts Center. At the Artistic Faculty there are candidate, master's and master's programs in free art, music and theater, as well as a number of courses of varying degrees. Here, postgraduate education and research are also conducted with artistic focus and in music pedagogy. Musicians, church musicians, composer organizers and music teachers are educated at the School of Music. In addition, postgraduate education is given in music pedagogy and artistic research in music, as well as independent courses. The School of Music collaborates with the surrounding music and cultural community. The School of Music is a relatively large workplace with about 200 employees and over 1000 students and offers a creative and stimulating environment with high artistic and educational goals. The dynamic knowledge environment that prevails at the department gives the students good conditions to develop into competent and independent musicians, educators and researchers. Malmö Music University has a clear international profile with a broad international contact network. We eliminate all contacts from advertising sellers, recruitment and staffing companies due to state procurement rules. Form of employment permanent position The extent of employment Part-time Number of vacancies 1 Employment rate 50 percent location Malmö county Skåne Land Sweden Reference number Pa2025739 Contact Lars Andersson, Head of Education 040-325493, trade union representative Ofstfackförbundet StS Chancellor 0462222 Kanslisaco-s.lu.se, SEKO SEKO Civil 046-2229366, published 2025-03-24 Last application date 2025-04-13"
Senior Solution Architect PLM,"Stockholm, Stockholm County, Sweden",2025-03-24 01:05:38,"Siemens Digital Industries Software is a leading provider of solutions for the design, simulation, and manufacture of products across many different industries. Formula 1 cars, skyscrapers, ships, space exploration vehicles, and many of the objects we see in our daily lives are being conceived and manufactured using our Product Lifecycle Management PLM software. The Nordic Service organization focuses on high profile companies in the Nordic region and together with them, we build ground-breaking solutions allowing faster time-to-market and higher product quality. We have many new customers taking their first steps with us, as well as longtime clients taking their next step in the digital transformation, so we need to grow our team extensively. Customer stories - httpswww.plm.automation.siemens.comglobalenour-storycustomerscountrySE Your mission If you are in the business, you have heard all the buzz words like PLMALMSLM, Digital Twins, CLM, CLQ, TIA, MBSE, SaaS, IoT, MESMOM, and many more. In this job these buzz words come to life they go from marketing slogans to successfully implemented solutions deployed in complex customer scenarios. And you can be one of the main players making this happen. Every customer journey will be unique, and you will have the opportunity to work in all or many phases of a customer engagement. You can expect to Support the strategic Sales team, providing guidance on architecture options and the long-term roadmap for the solution in early phases of a client engagementDuring the development phase, translate business requirements into specific process-based solution design based on industry domain knowledge and best practices in the subject area, allowing customers to use the full potential of our softwareLead a Solution Design or Implementation team when requiredAct as the ultimate authority on architectural design to address business problemsMentor and coach less experienced colleaguesOccasionally consult on strategic andor complex Enterprise projects in the Nordics, of diverse scope that require specialist expertise and high levels of technical leadership The team We are a consulting community of 30 highly skilled professionals working primarily with our Lifecycle Management solutions, mainly Teamcenter. The team is spread over two sites in Sweden, Stockholm and Gothenburg area, and one site in Denmark, Vejle area. The community is organized in smaller teams, so that every team member has a team leader who guides and coaches them in their development. Our offices are in Solna, Mölndal and Vejle where we meet and collaborate with colleagues. We also meet regularly online within the teams and as a community to share competence and experiences across the Nordics. When we work on customer projects, we are backed by the full power of the Siemens organization, with everything from easily available training resources, product information, access to product managers and other specialists, and access to and services colleagues from around the world. Siemens is a learning company, and a place where we share information to enable our colleagues. As Solution Architect you thrive in collaborative environments while being the point of contact between the customer, the users, and the development teams. You enjoy meeting new people, companies, industries, and products, and take pride in delivering innovative solutions as a team. We look for a great teammate, knowledge sharing is second nature to you. You may already in your current position mentor or coach colleagues, and from time to time take a project role as leader for a smaller team. You master English, and preferably a Nordic language, on a professional level and have excellent presentation skills and can present complex topics to different audiences. You are eager to learn new technologies and to stay up to date with the development in the industry. Your Qualifications Consolidated experience working as Solution Architect within Product Lifecycle Management PLM, preferably TeamcenterExperience as SA within mid to large PLM projectsUnderstanding of business processes and challenges within digitalizationProven leadership skillsStakeholder management skills Preferred Qualifications Experience with implementation of PLM systems in an integrated landscape where PLM is interacting with ERP and MESMOMExperience with implementation of PLM systems that support multiple engineering domains, such as Product Engineering, Manufacturing Engineering and Service EngineeringExpert level understanding of Teamcenter We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, sex, gender, gender expression, sexual orientation, age, marital status, veteran status, or disability status. We are Siemens A collection of over 377,000 minds building the future, one day at a time in over 200 countries. Were dedicated to equality, and we welcome applications that reflect the diversity of the communities we work in. All employment decisions at Siemens are based on qualifications, merit, and business need. Bring your curiosity and creativity and help us shape tomorrow We offer a comprehensive reward package which includes a competitive basic salary, bonus scheme, generous holiday allowance, pension, and private healthcare. Transform the everyday"
Network technicians,"Stockholm, Stockholm County, Sweden",2025-03-24 03:25:19,"If you have experience in networks and infrastructure and are ready to take the next step in your career at Amendo Tech, you will have the opportunity to work with leading companies in banking, finance, retail, authorities, product companies and innovative startups. We are currently looking for committed consultants for upcoming interim assignments that can strengthen our customers' technical landscapes and ensure their infrastructure and networks at the highest level. Your skills profile We are looking for you who are knowledgeable in network architecture and security and who have experience in designing, implementing and monitoring network solutions in complex environments. You have worked with some of the following techniques network protocols and technology strong expertise in TCPP, DNS, DHCP, VLAN, VPN and routing protocols eg. OSPF, BGP. Firewalls experience with firewalls, IDSIPS, and other security solutions, such as Cisco ASA, Palo Alto or Fortinet. Wireless networks experience in configuring and managing wireless networks WLAN and Wi-Fi-solutions. Last balanc Generally used to use surveillance tools. Certifications are happy to certifications within Cisco eg. CCNA, CCNP or equivalent experience. Moln platforms solid experience with AWS, Azure, or Google Cloud Platform as well as work with Hybridmoln architecture. Virtual environments experience in virtualization technologies such as VMWare, Hyper-V or sqm server, including Directory. storage and backup knowledge of SAN, NAS and backup solutions such as VEEAM or Commvault. Automation and scripting ability to streamline and automate workflows with the help of PowerShell, Python or Ansible.Security and Monitor You have a will, curiosity and drive to want to create benefit from the customer and learn new. A problem solver who is not afraid to take the initiative and dares to explore new roads and working methods. You have the ability to quickly get into new contexts and processes. You get things done and see knowledge gaps as an opportunity for personal development. You are analytical and have a great understanding of the importance of service and communication. As a consultant, you will face a variety of challenges, both from a social and pragmatic perspective. Therefore, we believe that you are open and humble for both change and differences. You have an agile way to face problems and can see them from different angles. About AMENDO Tech Amendo Tech is your comprehensive partner in IT and Tech. As our consultant colleague, you become part of a personal company that attaches great importance to competence, diversity and innovation. We see the unique perspective of each employee as a strength, and we offer an open climate where we support you to reach your goals. Together, we help to shape a better future through technology and creativity. We are an expansive company with a strong local presence in Stockholm as well as in southwestern and northern Sweden. Follow Amendo Tech at LinkedIn Amendo Tech is part of the Amendo Group, which has worked with the future competence since 2001. The Group also includes AMENDO Bemanning Recruitment and Lagotto Executive Search Interim. Together we meet you where you stand, and get you where you want. We are your dedicated and secure competence partner. Questions and contacts for questions or concerns about our consulting assignments, you are most welcome to contact Amendo Techs Kiara Bergqvist at kiara.bergqvistamendotech.se or Johanna Hallenberg at Johanna.hallenbergamendotech.se. We look forward to hearing from you, warm welcome with your application IT"
