job_name,skills
Sales Channel Analyst,
Staff assistant to LV 6 Implementing Department,
Sprinkler designer-skellefteå,
"Account Manager, New Business Trainee",
Light designer to Fagerhult's lighting,
Security Consultant,
EMBEDDED DEVELOPER TO HELSINGBORG,AWS
Experienced infrastructure techniques,"Azure,Azure"
Training & Documentation Manager,
Driven new customer seller with passion for IT and customer relationships!,
Officer of the automotive industry in Södertälje,
Do you want to be our summer hero? Jobs in Green Type or Vehicle Care,
Lead Project Manager,
Account Executive,Kubernetes
Human Resources Business Partner,
Servicenow Architect (IT),
Security specialists in personnel safety,
Seller,
"University lecturer in music theory, School of Music",
Operation Director to the automotive industry,
Web and Online Channel Specialist,
Quality Assurance and Control Engineer,
Operations Manager - Global Crew Hosting,AI
Senior HSES Specialist,
Managing designer electrical engineering,
Interest registration Administration & Customer Service,
"Account Manager, New Business Trainee",
Senior Embedded Software Engineer,
Senior DevOps Engineer,"Docker,AWS,Kubernetes"
Service Delivery Manager Infrastructure to Stockholm Arlanda Airport,
Senior Electrical Construction Manager - Gavle - 144589,
Accounting manager,
Construction Area Project Manager,
Senior audit consultants to EY,
Supplier Quality Engineer for HVDC Control and Protection Electronics,
Area Manager in Dental Care Control in Umeå,
Senior testing,
GCP DevOps Engineer - Tech Lead,Kubernetes
Summer Democrats to Åsbacka Molkom,
EMEA Technical Customer Success Manager - Sweden,AI
Project and construction manager Infrastructure to Systra AB in the South,
Material maintenance section LV 6 Seeking Mechanics GSS/K,
Business Intelligence Consultant - Chemicals Vertical,
Postgraduate trained with knowledge in antenna technology,
Fullstack .NET developer,Angular
Chef Data Privacy,
School informant,
Swedavia is looking for substitutes within the luggage facility to Stockholm-Arlanda Airport,
Seller,
Teacher in priest subjects to Skogsängsskolan,
"Account Manager, Existing Business Trainee",
Area Manager in Dental Care Control in Gothenburg,
Solutions Architect - GCP,Kubernetes
Extra job as a B -driver in Gothenburg - Short -term assignment,
"Development Manager Transport and Logistics, Stora Enso Skog",
Study service for those who want to study for preschool teachers or primary school,
Mechanical Engineer - Gavle - 144634,
Ruby-on-Rails Engineer (Turbo/Stimulus/Hotwire) (Remote),"AI,AI,AI,AI,AI"
Product Expert - Digital Workplace (P&M),
Senior Partner Account Manager- Channel,
"University lecturer in guitar and ensemble play/rock music, School of Music",
Senior Solution Architect PLM,
Network technicians,Python
Senior audit consultants to EY,
HCM Solutions Consultant,
Senior Fullstack Engineer - Platform Focus,"Kubernetes,Kubernetes,AWS,TypeScript"
"Sales Account Executive, Forestry",
Forensics for an institution/detention Hinseberg holiday substitute,
Assignment manager Electric power,
B3 Procurement is looking for procurement consultants for the private sector,
"Senior Engineer - Network & Cyber Security for SCADA, IS/IT",
Supervisor for the business Falken at the labor market unit,
Linux specialist for Swedish intelligence service,
"Demand Planning Specialist – E-commerce (Amazon, Walmart, Shopify)",
Teltek is looking for a installer!,
SAP Solution Architect,Azure
Tender Specialist – Aftersales,
"Principal Subject Matter Expert, Sterile Drug Product Processing – Global Operations",
Project Engineering Manager mot Hitachi Energy,
"Development Manager Transport and Logistics, Stora Enso Skog",
Business Consultant - Manufacturing & Transportation,
[Full Remote] Junior Marketing,
Nursing assistants this summer,
Compliance Consultant,
Senior Product Designer,
"University lecturer in violin, School of Music",
Product Manager – SuccessFactors (HXM Team),
Delivery Lead,AI
GCP DevOps Engineer - Senior,Kubernetes
Experienced station projector,
RIVER - Utility,
Sr. Product Director - Customer Domain,
Physiotherapist to Habilitation Reception Children and Young Unit 3 in Malmö,
Entry-level communications specialist,Kubernetes
"Marketing Designer, CRO Focused (1 Year Contract)",
"Account Manager, Existing Business Trainee",
Solution Architect - SuccessFactors,
Commercial Manager to Future Industrial Project,
Air Defense Battalion 1.103-Pluton at 2.103 Company Seeking Soldiers,
Growth Product Manager,
New Business Sales Executive,
Seller DVH - Northern Sweden,
Area Manager in Dental Care Control in Malmö,
Ruby on Rails Developer,
Commissioning Manager - Gables - 144691,
Project Manager (Work From Home),
Purchasing consultant,
Archive assistant to the Prison Service's head office,
"Account Manager, New Business Trainee",
Senior Product Designer,
Machinist Waterman Sleepdienst,
"Group Manager to BF/IGV at LPO Borås, Region West",
Area Manager in Dental Care Control in Åmål,
"Teacher in Mathematics, NO, Technology to Geneskolan 7-9",
University lecturer in ensemble and drum set with jazz orientation,
Senior Security Engineer,"AI,AI,AI"
Executive Assistant (Work From Home),
Human Resources Operations,
Technical Seller -Stra Opportunities Awaiting You!,
Nurse for Ljunghaga!,
Assignment leader infrastructure,
Project Controls Lead - Life Science,
The Air Defense Battalion 1.103-Pluton at the 1.103 Company Seeking Soldiers,
Intelligent Grid Operations (OT/ADMS Systems Consulting) Senior Consultant/Manager,
"Security officer to the Gothenburg Opencies, Temporary Temporary",
Experienced building antiquarian/settlement antiquarian to the cultural administration,
Leader football young people,
Commercial Manager to Future Industrial Project,
Product Area Architect,Azure
Purchasing coordinator to the Social Administration Centrum.,
Nurse to emergency surgery and trauma,
Marketing Assistant,
Work student or intern content & social media (m/f/d),
Join Eaton’s EMEA Service Talent Network!,
Finance Administrator,
NX Specialist with good Teamcenter knowledge,
Management consultant - business development Gothenburg,
Mainframe System Administrator,
Occupational therapist to Andersberg your health center,
Project manager in infrastructure,
Project Engineering Manager mot Hitachi Energy,
Elementary school teacher grades 4-6 to Hållänget School,
Project leader towards the process industry,
Control facility engineer,
"University lecturer in hearing, School of Music",
Teacher in home and consumer knowledge to the bird school,
Management consultant within Customer & Growth,
Personal assistant to active guy in Vreta Monastery,
Account Manager,
Senior Video Engineer C++,
Dynamics D365 Solution Architect - Tietoevry Tech Services (m/f/d),
Media Buyer (Adult/Dating Vertical) (Europe - Remote),"AI,AI,AI,AI,AI"
Air Defense Battalion Staff Pluton at 1.103 Company Seeking Soldiers,
BB Karolinska Solna is looking for research coordinator - midwife,
Business Development Manager,
Content Proofing & QA Specialist,AI
Nurse for an institution and detain Nyköping Timvikariat,
Principal Mechanical Design engineer,
CIVIL / AND FIELD PIPING ENGINEER,
Underwear Temporary Till Ebba Short Time,
Study and vocational counselor for Ängelholm's upper secondary school,
Senior Commercial Real Estate Advisor,
Mainframe zHardware System Administrator,
Head of Unit to Student Health,
Sales Representative – Viber Community Engagement (Work From Home),
Senior Underwriting Specialist Property Nordics,
Occupational Therapist to Södertull Your Health Center,
Senior Frontend Developer,"AI,React,AI,React,AI,React,JavaScript,React,AI"
Commercial Manager to Future Industrial Project,
Ruby on Rails Developer,"AI,AI,AI,AI,AI"
Area Manager in Dental Care Control in Malmö,
Service Order Specialist,
Trainee nurse,
Sales,
Director of Revenue Operations,AI
Commercial Manager to Future Industrial Project,
Senior Design Manager (Infrastructure),
"LVBATS 23/98-platoon at 2,103 comp. Seeking soldiers and group managers",
Under physician,
Team Leader,
Channel Account Manager Nordics,
Service Owner/Service owner to Capio,
Anesthesis nurse to child anesthesia,
Join Eaton’s EMEA Sales & Service Talent Network!,
"Special teacher Svenska year 4-9, substitute",
Product Designer,
"University lecturer in trumpet, School of Music",
Regional Sales Director,
Social Media Specialist (German Speaking),
BB Karolinska Solna is looking for research coordinator - midwife,
Technology manager/leading signal projector,
Senior Account Executive - EMEA (3 Open Roles),
Buying & Wholesale Co-Ordinator,
UI/UX Designer (Work From Home),
Senior Supplier Quality Engineer - HVDC Main Circuit Equipment,
Senior test leader,
Build our LCA and EPD offer- consultant with at least 3 years experience,
Auditor,
Engcon seeks Manager Accounting to Finance,
Area Manager in Dental Care Control in Gothenburg,
Property manager to Region Kronoberg,
"SAP FICO Consultant – Master Data (Long-Term Contract, Germany)",
Underwear to Villa Agadir,
Teacher in home and consumer knowledge + other subject to Geneskolan 7-9,
Account Development Executive - Swedish Speaking,"SQL,SQL"
Now we are looking for a dental hygienist to central Uppsala.,
Group Manager to LSS Group Housing in Tungelsta,
Technical seller,
Commissioning Manager,
Sales Development Representative 2,
Senior Product Manager (XDR）,
Teacher year 4-6,
Teacher in Mathematics/NO to Special Teaching Group Arken,
The Andersberg health center is looking for a district nurse/nurse,
Customer Success Manager (Work From Home),
Signal security reviewer in signal technology,
HR partner with work environment focus,
Market Coordinator International Trade & Membership,
Underwear with planning assignments sought to Ranrikegården in Kungälv,
Authorized accounting consultant Sundsvall,
"Teacher Year F-6 Sports and Health, Temporary Temporary",
Head of Construction Project Management,
Teacher in craft to Tärnsjö school,
Deployment Manager,
Senior R&D Product Safety Engineer,
Univ.a professor of ensemble and guitar with a focus on folk and world music,
Regional Sales Manager - Botanical Extracts - Southern Europe,
Special teacher Mathematics F-6,
Accountant (Work From Home),
Team Leader/Senior designer Electronics Hardware Development,
1. The CBRN Company is looking for CBRN soldiers,
Area Manager in Dental Care Control in Umeå,
Teacher to FritSlaskolan's high school in Swedish and German,
Electric designer,
Physiotherapist is sought to Defense Health K 3,
Signal security reviewer in signal technology,
Elementary school teacher in wood and metal to Anundsjö School,
Head of Department to Development and Quality,
"University lecturer in ensemble line, chamber music and violon cell",
"Material Pluton Manager to Special Flight Company, Special Flight Squadron F 7 Linköping",
Area Manager in Dental Care Control in Gothenburg,
"University lecturer in rhythmic pedagogy, School of Music",
"University lecturer in Fagott, School of Music",
Global Quality & Continuous Improvement Manager,
Project Manager,
Virtual Assistant (Work From Home),
"Teacher in Swedish, English to Geneskolan 7-9",
Technical project manager district heating and district cooling,
Area Manager in Dental Care Control in Gothenburg,
Technology manager/leading signal projector,
The Air Defense Battalion's Faith Pluton at 1.103 Company seeks soldiers,
Team Leader Installation,
Utesäljare Cooling & Heating,
Area Manager in Dental Care Control in Åmål,
Elementary school teacher in textile crafts/image to Själevad School,
Area Manager in Dental Care Control in Umeå,
"Legitimate teacher in leisure home/ leisure educator, Tärnsjö school",
Electrical designer,
Assignment responsible electrical engineering,
Area Manager in Dental Care Control in Umeå,
"R&D Senior Engineer, System Design Development – Power Quality",
Executive Assistant (Work From Home),
Area Manager in Dental Care Control in Malmö,
Teacher to the low school year F-3,
Strategic portfolio coordinator at MUST,
Insurance investigators in dental control in Gothenburg,
Material Master 2. Rescue Pluton F 21,
Project Engineer – SOM (Station and Operation Monitoring),
Technology manager/leading projector Tele,
Project Manager (Work From Home),
Cybersecurity Risk Assessment Engineer,
Area Manager in Dental Care Control in Gothenburg,
Director of Revenue Operations,AI
Commissioning Manager,
Sales Development Representative 2,
Senior Product Manager (XDR）,
Channel Account Manager Nordics,
Service Owner/Service owner to Capio,
Customer Success Manager (Work From Home),
Join Eaton’s EMEA Sales & Service Talent Network!,
Anesthesis nurse to child anesthesia,
Product Designer,
Regional Sales Director,
Social Media Specialist (German Speaking),
Head of Construction Project Management,
Buying & Wholesale Co-Ordinator,
Regional Sales Manager - Botanical Extracts - Southern Europe,
Team Leader/Senior designer Electronics Hardware Development,
Property manager to Region Kronoberg,
"SAP FICO Consultant – Master Data (Long-Term Contract, Germany)",
Material Master 2. Rescue Pluton F 21,
Physiotherapist is sought to Defense Health K 3,
Account Development Executive - Swedish Speaking,"SQL,SQL"
